2025-06-20 15:52:19,807 - INFO - Reçu de 'invité' @ ('10.0.108.52', 65036) - Type: message - Contenu: RRRR
2025-06-20 15:52:19,829 - ERROR - Erreur avec 'toto' @ ('10.0.108.52', 65036) - [Errno 107] Transport endpoint is not connected
2025-06-20 15:53:21,898 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.52', 65044)
2025-06-20 15:53:26,092 - INFO - Reçu de 'invité' @ ('10.0.108.52', 65044) - Type: message - Contenu: ddd
2025-06-20 15:53:26,107 - ERROR - Erreur avec 'zzzzz' @ ('10.0.108.52', 65044) - [Errno 107] Transport endpoint is not connected
2025-06-20 15:54:27,496 - INFO - [SYSTEM EVENT] Serveur démarré sur 0.0.0.0:12345
2025-06-20 15:57:32,187 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.141', 52955)
2025-06-20 15:57:32,282 - INFO - Reçu de 'invité' @ ('10.0.108.141', 52955) - Type: login - Contenu: None
2025-06-20 15:57:32,287 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.141', 52955): Bienvenue Yanis sur ClassCord !
2025-06-20 15:57:32,287 - INFO - [SYSTEM EVENT] Utilisateur connecté : Yanis @ ('10.0.108.141', 52955)
2025-06-20 15:57:32,486 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: users - Contenu: None
2025-06-20 15:57:34,637 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: ok pd
2025-06-20 15:57:50,407 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: tg
2025-06-20 15:57:54,094 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: tg
2025-06-20 15:57:57,418 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: sdsd
2025-06-20 15:57:57,680 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: sd
2025-06-20 15:57:57,885 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: sd
2025-06-20 15:57:58,091 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: sd
2025-06-20 15:57:58,296 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: sd
2025-06-20 15:57:58,307 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: sd
2025-06-20 15:57:58,499 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: s
2025-06-20 15:57:58,704 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: ds
2025-06-20 15:57:58,710 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: d
2025-06-20 15:57:58,909 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: sd
2025-06-20 15:57:58,915 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: s
2025-06-20 15:57:59,116 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: message - Contenu: ds
2025-06-20 15:58:16,229 - INFO - Reçu de 'Yanis' @ ('10.0.108.141', 52955) - Type: status - Contenu: None
2025-06-20 15:58:16,229 - INFO - [SYSTEM EVENT] Statut changé : Yanis est away
2025-06-20 15:58:17,446 - ERROR - Erreur avec 'Yanis' @ ('10.0.108.141', 52955) - [Errno 104] Connection reset by peer
2025-06-20 16:08:23,166 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.52', 65157)
2025-06-20 16:08:31,147 - INFO - Reçu de 'invité' @ ('10.0.108.52', 65157) - Type: message - Contenu: yo
2025-06-20 16:08:31,154 - ERROR - Erreur avec 'alo' @ ('10.0.108.52', 65157) - [Errno 107] Transport endpoint is not connected
2025-06-20 16:08:58,287 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.52', 65162)
2025-06-20 16:09:01,968 - INFO - Reçu de 'invité' @ ('10.0.108.52', 65162) - Type: register - Contenu: None
2025-06-20 16:09:01,977 - INFO - [SYSTEM EVENT] Nouvel utilisateur enregistré: efefefe @ 10.0.108.52
2025-06-20 16:09:01,986 - INFO - Reçu de 'invité' @ ('10.0.108.52', 65162) - Type: login - Contenu: None
2025-06-20 16:09:01,987 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.52', 65162): Bienvenue efefefe sur ClassCord !
2025-06-20 16:09:01,987 - ERROR - Erreur avec 'efefefe' @ ('10.0.108.52', 65162) - [Errno 107] Transport endpoint is not connected
2025-06-20 16:28:52,722 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.141', 54838)
2025-06-20 16:28:52,815 - INFO - Reçu de 'invité' @ ('10.0.108.141', 54838) - Type: login - Contenu: None
2025-06-20 16:28:52,817 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.141', 54838): Bienvenue Yanis sur ClassCord !
2025-06-20 16:28:52,817 - ERROR - Erreur avec 'Yanis' @ ('10.0.108.141', 54838) - [Errno 107] Transport endpoint is not connected
2025-06-20 16:40:37,817 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.141', 55489)
2025-06-20 16:40:37,817 - INFO - Reçu de 'invité' @ ('10.0.108.141', 55489) - Type: login - Contenu: None
2025-06-20 16:40:37,821 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.141', 55489): Bienvenue Yanis sur ClassCord !
2025-06-20 16:40:37,821 - ERROR - Erreur avec 'Yanis' @ ('10.0.108.141', 55489) - [Errno 107] Transport endpoint is not connected
2025-06-20 16:42:45,111 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.141', 55586)
2025-06-20 16:42:45,299 - INFO - Reçu de 'invité' @ ('10.0.108.141', 55586) - Type: users - Contenu: None
2025-06-20 16:42:47,245 - INFO - Reçu de 'invité' @ ('10.0.108.141', 55586) - Type: message - Contenu: oe
2025-06-20 16:42:47,253 - ERROR - Erreur avec 'Invité2750' @ ('10.0.108.141', 55586) - [Errno 107] Transport endpoint is not connected
2025-06-20 17:09:34,810 - INFO - [SYSTEM EVENT] Serveur démarré sur 0.0.0.0:12345
2025-06-20 17:11:42,087 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.52', 49751)
2025-06-20 17:12:07,017 - INFO - Reçu de 'invité' @ ('10.0.108.52', 49751) - Type: users - Contenu: None
2025-06-20 17:12:11,117 - INFO - Reçu de 'invité' @ ('10.0.108.52', 49751) - Type: message - Contenu: aaaaa
2025-06-20 17:12:11,961 - INFO - Reçu de 'AAA' @ ('10.0.108.52', 49751) - Type: users - Contenu: None
2025-06-20 17:12:16,950 - INFO - Reçu de 'AAA' @ ('10.0.108.52', 49751) - Type: users - Contenu: None
2025-06-20 17:12:21,967 - INFO - Reçu de 'AAA' @ ('10.0.108.52', 49751) - Type: users - Contenu: None
2025-06-20 17:12:26,985 - INFO - Reçu de 'AAA' @ ('10.0.108.52', 49751) - Type: users - Contenu: None
2025-06-20 17:12:32,007 - INFO - Reçu de 'AAA' @ ('10.0.108.52', 49751) - Type: users - Contenu: None
2025-06-20 17:12:32,010 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.52', 49756)
2025-06-20 17:12:37,020 - INFO - Reçu de 'AAA' @ ('10.0.108.52', 49751) - Type: users - Contenu: None
